Mesh;Loadcase;LOAD_N;SIG_0_ABS;SIG_0;sigma0;m;V_mesh;A_mesh;Pf_mesh;S_mesh;VF_Gauss26;PF_Gauss26
12x12;PWH-200x200x1-PIA-V-AVG;40.0;True;100.0;100.0;1;13394.04884;;1.0;119.491669;13394.04884;1.0
12x12;PWH-200x200x1-PIA-V-AVG;40.0;True;100.0;100.0;2;4483.729;;1.0;119.491669;4483.729;1.0
12x12;PWH-200x200x1-PIA-V-AVG;40.0;True;100.0;100.0;3;1501.438476;;1.0;119.491669;1501.438476;1.0
12x12;PWH-200x200x1-PIA-V-AVG;40.0;True;100.0;100.0;4;502.875396;;1.0;119.491669;502.875396;1.0
12x12;PWH-200x200x1-PIA-V-AVG;40.0;True;100.0;100.0;5;168.4868776;;1.0;119.491669;168.4868776;1.0
12x12;PWH-200x200x1-PIA-V-AVG;40.0;True;100.0;100.0;6;56.4938316;;1.0;119.491669;56.4938316;1.0
12x12;PWH-200x200x1-PIA-V-AVG;40.0;True;100.0;100.0;7;18.97601508;;1.0;119.491669;18.97601508;1.0
12x12;PWH-200x200x1-PIA-V-AVG;40.0;True;100.0;100.0;8;6.401155;;0.9999999999972092;119.491669;6.401155;0.9999999999972092
12x12;PWH-200x200x1-PIA-V-AVG;40.0;True;100.0;100.0;9;2.181914092;;0.9999803253987254;119.491669;2.181914092;0.9999803253987254
12x12;PWH-200x200x1-PIA-V-AVG;40.0;True;100.0;100.0;10;0.762912512;;0.9891914991443514;119.491669;0.762912512;0.9891914991443514
12x12;PWH-200x200x1-PIA-V-AVG;40.0;True;100.0;100.0;11;0.28312698;;0.8657005222530527;119.491669;0.28312698;0.8657005222530527
12x12;PWH-200x200x1-PIA-V-AVG;40.0;True;100.0;100.0;12;0.1188887284;;0.6348245700573455;119.491669;0.1188887284;0.6348245700573455
12x12;PWH-200x200x1-PIA-V-AVG;40.0;True;100.0;100.0;13;0.061052218;;0.4610569326377993;119.491669;0.061052218;0.4610569326377993
12x12;PWH-200x200x1-PIA-V-AVG;40.0;True;100.0;100.0;14;0.03938031196;;0.3790082580682302;119.491669;0.03938031196;0.3790082580682302
12x12;PWH-200x200x1-PIA-V-AVG;40.0;True;100.0;100.0;15;0.0302183442;;0.3539334406286565;119.491669;0.0302183442;0.3539334406286565
12x12;PWH-200x200x1-PIA-V-AVG;40.0;True;100.0;100.0;16;0.02555247396;;0.3568663380606043;119.491669;0.02555247396;0.3568663380606043
12x12;PWH-200x200x1-PIA-V-AVG;40.0;True;100.0;100.0;17;0.02263245916;;0.3732240842724697;119.491669;0.02263245916;0.3732240842724697
12x12;PWH-200x200x1-PIA-V-AVG;40.0;True;100.0;100.0;18;0.02048826964;;0.3966988054242762;119.491669;0.02048826964;0.3966988054242762
12x12;PWH-200x200x1-PIA-V-AVG;40.0;True;100.0;100.0;19;0.01875915564;;0.424707454153101;119.491669;0.01875915564;0.424707454153101
12x12;PWH-200x200x1-PIA-V-AVG;40.0;True;100.0;100.0;20;0.0172959864;;0.4561669726632818;119.491669;0.0172959864;0.4561669726632818
12x12;PWH-200x200x1-PIA-V-AVG;40.0;True;100.0;100.0;21;0.01602726804;;0.4905633966389541;119.491669;0.01602726804;0.4905633966389541
12x12;PWH-200x200x1-PIA-V-AVG;40.0;True;100.0;100.0;22;0.01491212472;;0.5275568194891493;119.491669;0.01491212472;0.5275568194891493
12x12;PWH-200x200x1-PIA-V-AVG;40.0;True;100.0;100.0;23;0.01392316632;;0.5668071264931122;119.491669;0.01392316632;0.5668071264931122
12x12;PWH-200x200x1-PIA-V-AVG;40.0;True;100.0;100.0;24;0.01304009648;;0.6078978201856142;119.491669;0.01304009648;0.6078978201856142
12x12;PWH-200x200x1-PIA-V-AVG;40.0;True;100.0;100.0;25;0.01224739756;;0.6503119970875104;119.491669;0.01224739756;0.6503119970875104
12x12;PWH-200x200x1-PIA-V-AVG;40.0;True;100.0;100.0;26;0.0115322154;;0.6933966127268779;119.491669;0.0115322154;0.6933966127268779
12x12;PWH-200x200x1-PIA-V-AVG;40.0;True;100.0;100.0;27;0.01088417508;;0.7363807817380175;119.491669;0.01088417508;0.7363807817380175
12x12;PWH-200x200x1-PIA-V-AVG;40.0;True;100.0;100.0;28;0.01029462276;;0.7783884261386633;119.491669;0.01029462276;0.7783884261386633
12x12;PWH-200x200x1-PIA-V-AVG;40.0;True;100.0;100.0;29;0.00975643284;;0.8184829192652665;119.491669;0.00975643284;0.8184829192652665
12x12;PWH-200x200x1-PIA-V-AVG;40.0;True;100.0;100.0;30;0.009263386;;0.8557157248734557;119.491669;0.009263386;0.8557157248734557
12x12;PWH-200x200x1-PIA-V-AVG;40.0;True;100.0;100.0;31;0.00881034976;;0.8892175587699684;119.491669;0.00881034976;0.8892175587699684
12x12;PWH-200x200x1-PIA-V-AVG;40.0;True;100.0;100.0;32;0.00839286576;;0.9182804016079912;119.491669;0.00839286576;0.9182804016079912
12x12;PWH-200x200x1-PIA-V-AVG;40.0;True;100.0;100.0;33;0.00800709332;;0.9424481419566786;119.491669;0.00800709332;0.9424481419566786
12x12;PWH-200x200x1-PIA-V-AVG;40.0;True;100.0;100.0;34;0.00764978024;;0.9615858584777424;119.491669;0.00764978024;0.9615858584777424
12x12;PWH-200x200x1-PIA-V-AVG;40.0;True;100.0;100.0;35;0.007318025;;0.9759043843562496;119.491669;0.007318025;0.9759043843562496
12x12;PWH-200x200x1-PIA-V-AVG;40.0;True;100.0;100.0;36;0.0070093316;;0.9859360057415628;119.491669;0.0070093316;0.9859360057415628
12x12;PWH-200x200x1-PIA-V-AVG;40.0;True;100.0;100.0;37;0.0067214584;;0.9924486234252872;119.491669;0.0067214584;0.9924486234252872
12x12;PWH-200x200x1-PIA-V-AVG;40.0;True;100.0;100.0;38;0.00645258372;;0.9963200031206534;119.491669;0.00645258372;0.9963200031206534
12x12;PWH-200x200x1-PIA-V-AVG;40.0;True;100.0;100.0;39;0.00620088728;;0.998397319872203;119.491669;0.00620088728;0.998397319872203
12x12;PWH-200x200x1-PIA-V-AVG;40.0;True;100.0;100.0;40;0.00596489244;;0.9993874544074784;119.491669;0.00596489244;0.9993874544074784
12x12;PWH-200x200x1-PIA-V-AVG;40.0;True;100.0;100.0;41;0.00574328612;;0.9997988465380184;119.491669;0.00574328612;0.9997988465380184
12x12;PWH-200x200x1-PIA-V-AVG;40.0;True;100.0;100.0;42;0.00553488592;;0.9999446271060372;119.491669;0.00553488592;0.9999446271060372
12x12;PWH-200x200x1-PIA-V-AVG;40.0;True;100.0;100.0;43;0.00533853004;;0.9999875823229174;119.491669;0.00533853004;0.9999875823229174
12x12;PWH-200x200x1-PIA-V-AVG;40.0;True;100.0;100.0;44;0.00515330816;;0.9999978062953028;119.491669;0.00515330816;0.9999978062953028
12x12;PWH-200x200x1-PIA-V-AVG;40.0;True;100.0;100.0;45;0.00497840064;;0.9999997064506644;119.491669;0.00497840064;0.9999997064506644
12x12;PWH-200x200x1-PIA-V-AVG;40.0;True;100.0;100.0;46;0.00481295912;;0.999999971567374;119.491669;0.00481295912;0.999999971567374
12x12;PWH-200x200x1-PIA-V-AVG;40.0;True;100.0;100.0;47;0.00465629856;;0.9999999981100822;119.491669;0.00465629856;0.9999999981100822
12x12;PWH-200x200x1-PIA-V-AVG;40.0;True;100.0;100.0;48;0.00450779824;;0.9999999999189936;119.491669;0.00450779824;0.9999999999189936
12x12;PWH-200x200x1-PIA-V-AVG;40.0;True;100.0;100.0;49;0.0043668556;;0.9999999999979176;119.491669;0.0043668556;0.9999999999979176
12x12;PWH-200x200x1-PIA-V-AVG;40.0;True;100.0;100.0;50;0.00423295984;;0.9999999999999704;119.491669;0.00423295984;0.9999999999999704
12x12;PWH-200x200x1-PIA-V-RAW;40.0;True;100.0;100.0;1;13394.02344;;1.0;119.49167;13394.02344;1.0
12x12;PWH-200x200x1-PIA-V-RAW;40.0;True;100.0;100.0;2;4483.80324;;1.0;119.49167;4483.80324;1.0
12x12;PWH-200x200x1-PIA-V-RAW;40.0;True;100.0;100.0;3;1501.471436;;1.0;119.49167;1501.471436;1.0
12x12;PWH-200x200x1-PIA-V-RAW;40.0;True;100.0;100.0;4;502.885468;;1.0;119.49167;502.885468;1.0
12x12;PWH-200x200x1-PIA-V-RAW;40.0;True;100.0;100.0;5;168.4894256;;1.0;119.49167;168.4894256;1.0
12x12;PWH-200x200x1-PIA-V-RAW;40.0;True;100.0;100.0;6;56.4943428;;1.0;119.49167;56.4943428;1.0
12x12;PWH-200x200x1-PIA-V-RAW;40.0;True;100.0;100.0;7;18.97598076;;1.0;119.49167;18.97598076;1.0
12x12;PWH-200x200x1-PIA-V-RAW;40.0;True;100.0;100.0;8;6.40102292;;0.999999999997208;119.49167;6.40102292;0.999999999997208
12x12;PWH-200x200x1-PIA-V-RAW;40.0;True;100.0;100.0;9;2.181797028;;0.9999803139729958;119.49167;2.181797028;0.9999803139729958
12x12;PWH-200x200x1-PIA-V-RAW;40.0;True;100.0;100.0;10;0.762820304;;0.9891855872277368;119.49167;0.762820304;0.9891855872277368
12x12;PWH-200x200x1-PIA-V-RAW;40.0;True;100.0;100.0;11;0.2830475868;;0.8656249171360932;119.49167;0.2830475868;0.8656249171360932
12x12;PWH-200x200x1-PIA-V-RAW;40.0;True;100.0;100.0;12;0.1188213004;;0.6346159094159255;119.49167;0.1188213004;0.6346159094159255
12x12;PWH-200x200x1-PIA-V-RAW;40.0;True;100.0;100.0;13;0.0609902888;;0.4607189323054594;119.49167;0.0609902888;0.4607189323054594
12x12;PWH-200x200x1-PIA-V-RAW;40.0;True;100.0;100.0;14;0.03932201488;;0.3785701530419884;119.49167;0.03932201488;0.3785701530419884
12x12;PWH-200x200x1-PIA-V-RAW;40.0;True;100.0;100.0;15;0.03016312048;;0.3534174867188887;119.49167;0.03016312048;0.3534174867188887
12x12;PWH-200x200x1-PIA-V-RAW;40.0;True;100.0;100.0;16;0.0254997872;;0.3562807742113805;119.49167;0.0254997872;0.3562807742113805
12x12;PWH-200x200x1-PIA-V-RAW;40.0;True;100.0;100.0;17;0.02258208952;;0.3725721273803309;119.49167;0.02258208952;0.3725721273803309
12x12;PWH-200x200x1-PIA-V-RAW;40.0;True;100.0;100.0;18;0.02044022644;;0.3959835306822814;119.49167;0.02044022644;0.3959835306822814
12x12;PWH-200x200x1-PIA-V-RAW;40.0;True;100.0;100.0;19;0.01871320976;;0.4239279540603526;119.49167;0.01871320976;0.4239279540603526
12x12;PWH-200x200x1-PIA-V-RAW;40.0;True;100.0;100.0;20;0.01725213416;;0.4553265133813448;119.49167;0.01725213416;0.4553265133813448
12x12;PWH-200x200x1-PIA-V-RAW;40.0;True;100.0;100.0;21;0.01598536408;;0.489664335534601;119.49167;0.01598536408;0.489664335534601
12x12;PWH-200x200x1-PIA-V-RAW;40.0;True;100.0;100.0;22;0.01487218124;;0.5266070248923964;119.49167;0.01487218124;0.5266070248923964
12x12;PWH-200x200x1-PIA-V-RAW;40.0;True;100.0;100.0;23;0.013885065;;0.56581434547731;119.49167;0.013885065;0.56581434547731
12x12;PWH-200x200x1-PIA-V-RAW;40.0;True;100.0;100.0;24;0.01300369296;;0.6068717379783108;119.49167;0.01300369296;0.6068717379783108
12x12;PWH-200x200x1-PIA-V-RAW;40.0;True;100.0;100.0;25;0.01221255212;;0.6492651463184188;119.49167;0.01221255212;0.6492651463184188
12x12;PWH-200x200x1-PIA-V-RAW;40.0;True;100.0;100.0;26;0.01149889732;;0.6923476877285832;119.49167;0.01149889732;0.6923476877285832
12x12;PWH-200x200x1-PIA-V-RAW;40.0;True;100.0;100.0;27;0.01085232664;;0.7353504072832275;119.49167;0.01085232664;0.7353504072832275
12x12;PWH-200x200x1-PIA-V-RAW;40.0;True;100.0;100.0;28;0.0102641508;;0.7773978658548059;119.49167;0.0102641508;0.7773978658548059
12x12;PWH-200x200x1-PIA-V-RAW;40.0;True;100.0;100.0;29;0.00972722004;;0.8175531897143543;119.49167;0.00972722004;0.8175531897143543
12x12;PWH-200x200x1-PIA-V-RAW;40.0;True;100.0;100.0;30;0.00923537464;;0.8548686578269221;119.49167;0.00923537464;0.8548686578269221
12x12;PWH-200x200x1-PIA-V-RAW;40.0;True;100.0;100.0;31;0.00878350064;;0.8884723341001498;119.49167;0.00878350064;0.8884723341001498
12x12;PWH-200x200x1-PIA-V-RAW;40.0;True;100.0;100.0;32;0.00836706908;;0.9176489662850718;119.49167;0.00836706908;0.9176489662850718
12x12;PWH-200x200x1-PIA-V-RAW;40.0;True;100.0;100.0;33;0.00798231736;;0.9419375047225124;119.49167;0.00798231736;0.9419375047225124
12x12;PWH-200x200x1-PIA-V-RAW;40.0;True;100.0;100.0;34;0.00762597704;;0.9611943238909568;119.49167;0.00762597704;0.9611943238909568
12x12;PWH-200x200x1-PIA-V-RAW;40.0;True;100.0;100.0;35;0.00729509816;;0.9756215087067086;119.49167;0.00729509816;0.9756215087067086
12x12;PWH-200x200x1-PIA-V-RAW;40.0;True;100.0;100.0;36;0.00698724248;;0.9857457572220696;119.49167;0.00698724248;0.9857457572220696
12x12;PWH-200x200x1-PIA-V-RAW;40.0;True;100.0;100.0;37;0.0067002056;;0.9923310657872042;119.49167;0.0067002056;0.9923310657872042
