CASE;CASE_X;CASE_Y;CASE_Z;STRESS;INT;REF;CRIT;LOC;MESH_X;MESH_Y;MESH_Z;LOAD_N;SIG_0_ABS;SIG_0;VTK;ERR_EXT;PIA_FIX
POR;50.8;0;1.5;RAW;G5;NDX;PIA;V;8;12;6;3.45;TRUE;1000;0;1;0
POR;50.8;0;1.5;AVG;EM;NDX;PIA;V;8;12;6;3.45;TRUE;1000;1;1;0
POR;50.8;0;1.5;RAW;EM;NDX;S1;A;8;12;6;3.45;TRUE;1000;1;1;0
POR;50.8;0;1.5;AVG;G5;NDX;PIA;A;8;12;6;3.45;TRUE;1000;0;1;0
POR;50.8;0;1.5;RAW;G5;GPX;S1;V;8;12;6;3.45;TRUE;1000;0;1;0
POR;50.8;0;1.5;AVG;G5;GPX;PIA;V;8;12;6;3.45;TRUE;1000;0;1;0
POR;50.8;0;1.5;RAW;EM;EMX;PIA;A;8;12;6;3.45;TRUE;1000;1;1;0
POR;50.8;0;1.5;AVG;G5;GPX;PIA;A;8;12;6;3.45;TRUE;1000;0;1;0
PWH;200;200;1;RAW;G5;NDX;S1;V;12;12;1;40.0;TRUE;100;0;1;0
PWH;200;200;1;AVG;G5;NDX;PIA;V;12;12;1;40.0;TRUE;100;0;1;0
PWH;200;200;1;RAW;G5;GPX;PIA;V;12;12;1;40.0;TRUE;100;0;1;0
PWH;200;200;1;AVG;G5;GPX;PIA;V;12;12;1;40.0;TRUE;100;0;1;0
PWH;200;200;1;RAW;EM;NDX;S1;V;12;12;1;40.0;TRUE;100;1;1;0
PWH;200;200;1;AVG;EM;NDX;PIA;V;12;12;1;40.0;TRUE;100;1;1;0
PWH;200;200;1;RAW;EM;EMX;PIA;V;12;12;1;40.0;TRUE;100;1;1;0
PWH;200;200;1;AVG;EM;EMX;S1;V;12;12;1;40.0;TRUE;100;1;1;0
