CASE;CASE_X;CASE_Y;CASE_Z;STRESS;INT;REF;CRIT;LOC;MESH_X;MESH_Y;MESH_Z;LOAD_N;SIG_0_ABS;SIG_0;VTK;ERR_EXT;PIA_FIX;GP_DEBUG
POR;50.8;10.0;1.5;RAW;G26;NDX;PIA;A;4;6;6;3.45;False;1.0;0;0;1;0
POR;50.8;10.0;1.5;AVG;G26;NDX;PIA;A;4;6;6;3.45;False;1.0;0;0;1;0
POR;50.8;10.0;1.5;RAW;G26;NDX;PIA;A;8;12;6;3.45;False;1.0;0;0;1;0
POR;50.8;10.0;1.5;AVG;G26;NDX;PIA;A;8;12;6;3.45;False;1.0;0;0;1;0
POR;50.8;10.0;1.5;RAW;G26;NDX;PIA;A;12;18;6;3.45;False;1.0;0;0;1;0
POR;50.8;10.0;1.5;AVG;G26;NDX;PIA;A;12;18;6;3.45;False;1.0;0;0;1;0
POR;50.8;10.0;1.5;RAW;G26;NDX;PIA;A;16;24;6;3.45;False;1.0;0;0;1;0
POR;50.8;10.0;1.5;AVG;G26;NDX;PIA;A;16;24;6;3.45;False;1.0;0;0;1;0
POR;50.8;10.0;1.5;RAW;G26;NDX;PIA;A;24;36;6;3.45;False;1.0;0;0;1;0
POR;50.8;10.0;1.5;AVG;G26;NDX;PIA;A;24;36;6;3.45;False;1.0;0;0;1;0
POR;50.8;10.0;1.5;RAW;G26;NDX;PIA;A;32;48;6;3.45;False;1.0;0;0;1;0
POR;50.8;10.0;1.5;AVG;G26;NDX;PIA;A;32;48;6;3.45;False;1.0;0;0;1;0
